Model G,,,,,
Coccolithophores,0.591,,,,
Coccolithus species,0.718,,,,
Syracosphaera species,0.641,,,,
Emiliania huxleyi,0.643,,,,
Coccolithus pelagicus,0.674,,,,
Syracosphaera pulchra,0.497,,,,
,,,,,
Model GS,Phosphate,Si*,Ni*,Salinity,Temperature
Emiliania huxleyi,0.633,0.633,0.633,0.633,0.633
Coccolithus pelagicus,0.639,0.639,0.639,0.639,0.639
Syracosphaera pulchra,0.492,0.492,0.492,0.492,0.492
,,,,,
,,,,,
,,,,,
,,,,,
Model GI,Phosphate,Si*,Ni*,Salinity,Temperature
Emiliania huxleyi,0.634,0.633,0.639,0.633,0.633
Coccolithus pelagicus,0.639,0.639,0.637,0.65,0.641
Syracosphaera pulchra,0.492,0.492,0.505,0.492,0.496
