"","Species names","Number of observations"
"1","Acanthoica acanthos",32
"2","Acanthoica quattrospina",47
"3","Acanthoica spp.",35
"4","Algirosphaera robusta",58
"5","Alisphaera gaudii",1
"6","Alisphaera unicornis",18
"7","Anthosphaera spp.",7
"8","Braarudosphaera spp.",1
"9","Calcidiscus leptoporus",43
"10","Calcidiscus leptoporus/Coccolithus pelagicus",1
"11","Calcidiscus spp.",57
"12","Calciopappus caudatus",116
"13","Calciopappus rigidus",2
"14","Calciopappus spp.",10
"15","Calciosolenia brasiliensis",3
"16","Calyptrolithina divergens",2
"17","Calyptrosphaera sphaeroidea",90
"18","Calyptrosphaera spp.",14
"19","Canistrolithus spp.",1
"20","Coccolithaceae",281
"21","Coccolithophore",1064
"22","Coccolithus pelagicus",572
"23","Coccolithus spp.",230
"24","Coccosphaera spp.",39
"25","Corisphaera gracilis",8
"26","Corisphaera spp.",13
"27","Coronosphaera mediterranea",150
"28","Cyrtosphaera aculeata",6
"29","Discosphaera tubifera",11
"30","Emiliania huxleyi",1367
"31","Emiliania huxleyi/Gephyrocapsa spp.",1
"32","Florisphaera profunda",3
"33","Gephyrocapsa ericsonii",19
"34","Gephyrocapsa muellerae",34
"35","Gephyrocapsa oceanica",3
"36","Gephyrocapsa ornata",1
"37","Gephyrocapsa spp.",49
"38","Gladiolithus flabellatus",1
"39","Helicosphaera carteri",114
"40","Helicosphaera spp.",1
"41","Helicosphaera wallichii",4
"42","Helladosphaera cornifera",105
"43","Homozygosphaera spinosa",7
"44","Lohmannosphaera spp.",2
"45","Michaelsarsia adriaticus",4
"46","Michaelsarsia elegans",13
"47","Michaelsarsia spp.",12
"48","Oolithotus fragilis",25
"49","Ophiaster formosus",12
"50","Ophiaster hydroideus",171
"51","Ophiaster spp.",5
"52","Palusphaera vandelii",9
"53","Pappomonas spp.",1
"54","Papposphaera spp.",4
"55","Pontosphaera syracusana",3
"56","Reticulofenestra parvula",4
"57","Reticulofenestra spp.",1
"58","Rhabdosphaera clavigera",51
"59","Rhabdosphaera hispida",6
"60","Rhabdosphaera spp.",7
"61","Rhabdosphaera xiphos",8
"62","Scyphosphaera apsteinii",5
"63","Syracosphaera anthos",12
"64","Syracosphaera bannockii",13
"65","Syracosphaera borealis",9
"66","Syracosphaera corolla",15
"67","Syracosphaera coronata",4
"68","Syracosphaera dentata",18
"69","Syracosphaera dilatata",14
"70","Syracosphaera halldalii",15
"71","Syracosphaera histrica",9
"72","Syracosphaera marginiporata",18
"73","Syracosphaera molischii",97
"74","Syracosphaera nana",1
"75","Syracosphaera nodosa",11
"76","Syracosphaera noroitica",5
"77","Syracosphaera ossa",14
"78","Syracosphaera prolongata",8
"79","Syracosphaera pulchra",240
"80","Syracosphaera rotula",45
"81","Syracosphaera spp.",226
"82","Syracosphaera tumularis",16
"83","Thoracosphaera heimii",7
"84","Umbellosphaera spp.",7
"85","Umbellosphaera tenuis",22
"86","Umbilicosphaera sibogae",32
